a,b,m,d,k,n
29,29,1,3,9,1
28,28,1,3,11,1
29,26,1,3,1,1
31,25,1,3,3,1
32,26,1,3,5,1
-2,13,1,4,3,1
-4,14,1,3,9,1
-5,13,1,3,11,1
-4,11,1,3,1,1
-2,10,1,4,3,1
-1,11,1,5,5,1
4,10,1,4,11,1
2,11,1,5,1,1
1,10,1,6,0,4
2,8,1,6,8,2
4,7,1,6,10,2
5,8,1,5,1,1
1,11,1,5,0,2
1,12,1,4,10,2
0,13,1,4,0,2
-1,13,1,4,2,2
-1,12,1,4,4,2
0,11,1,5,6,2
2,35,2,3,5,3
1,37,2,3,7,3
-1,38,2,3,9,3
-2,37,2,3,11,3
-1,35,2,3,1,3
1,34,2,3,3,3
1,7,1,6,7,3
-1,8,1,5,5,1
-2,7,1,4,3,1
-1,5,1,4,5,1
1,4,1,4,7,1
2,5,1,5,9,1
0,8,1,4,2,2
1,8,1,4,0,2
1,9,1,4,6,2
0,10,1,4,4,2
-1,10,1,3,10,2
-1,9,1,3,0,2
3,10,1,3,8,2
2,10,1,4,10,2
2,9,1,4,8,2
3,8,1,3,2,2
4,8,1,3,4,2
4,9,1,3,6,2
5,29,2,4,9,3
4,31,2,4,11,3
2,32,2,4,1,3
1,31,2,4,3,3
2,29,2,4,5,3
4,28,2,4,7,3
4,30,2,3,6,4
3,31,2,3,8,4
2,31,2,3,10,4
2,30,2,3,0,4
3,29,2,3,2,4
4,29,2,3,4,4
7,4,1,5,11,1
5,5,1,6,0,2
4,4,1,5,7,1
5,2,1,4,5,1
7,1,1,4,7,1
8,2,1,4,9,1
4,5,1,3,4,2
4,6,1,3,6,2
3,7,1,3,8,2
2,7,1,4,10,2
2,6,1,4,8,2
3,5,1,3,2,2
0,7,1,4,4,2
-1,7,1,3,10,2
-1,6,1,3,0,2
0,5,1,3,2,2
1,5,1,3,4,2
1,6,1,4,6,2
2,20,2,3,1,3
4,19,2,3,3,3
5,20,2,3,5,3
4,22,2,3,7,3
2,23,2,3,9,3
1,22,2,3,11,3
21,28,1,3,8,2
20,28,1,3,10,2
20,27,1,3,0,2
21,26,1,3,2,2
22,26,1,3,4,2
22,27,1,3,6,2
37,7,1,5,7,1
35,8,1,5,9,1
34,7,1,4,7,1
35,5,1,3,1,1
37,4,1,3,3,1
38,5,1,4,5,1
43,4,1,4,11,1
41,5,1,5,1,1
40,4,1,5,7,1
41,2,1,4,5,1
43,1,1,4,7,1
44,2,1,4,9,1
40,10,1,3,7,1
38,11,1,3,9,1
37,10,1,4,11,1
38,8,1,5,1,1
40,7,1,4,11,1
41,8,1,3,5,1
39,7,1,3,8,2
38,7,1,3,10,2
38,6,1,3,0,2
39,5,1,3,2,2
40,5,1,3,4,2
40,6,1,3,6,2
42,4,1,3,8,2
41,4,1,3,10,2
41,3,1,3,0,2
42,2,1,3,2,2
43,2,1,3,4,2
43,3,1,3,6,2
34,13,1,5,11,1
32,14,1,6,4,2
31,13,1,6,2,2
32,11,1,6,4,2
34,10,1,6,2,2
